step	depth	row	col	cands	cs	val
341	29	8	4	1	28	4
342	28	7	2	1	44	7
343	29	5	9	1	28	3
344	32	5	1	1	42	9
345	23	4	5	1	43	2
346	24	5	6	1	43	3
347	25	4	3	2	51	1
348	26	4	2	1	43	6
349	27	5	9	1	28	1
350	31	5	2	1	44	4
351	25	4	3	1	51	3
352	26	4	2	1	43	8
353	27	6	3	2	42	1
354	28	5	7	1	44	6
355	27	6	3	1	42	2
356	28	5	7	1	45	2
357	10	2	2	1	44	5
358	7	3	1	1	42	4
359	8	2	1	1	43	5
360	2	2	9	1	41	3
361	3	3	8	1	41	2
362	4	3	7	1	42	9
363	5	1	8	2	42	4
364	6	2	7	1	42	5
365	7	1	9	2	27	7
366	8	1	7	1	27	8
367	9	8	9	3	42	1
368	10	8	8	3	43	3
369	11	8	7	1	42	4
370	12	5	8	1	42	8
371	15	9	4	1	44	9
372	17	8	1	1	43	2
373	21	2	3	1	41	6
374	10	8	8	2	43	5
375	11	8	7	1	42	6
376	12	7	7	2	42	2
377	13	5	8	1	42	8
378	15	9	7	2	43	3
379	16	4	8	1	27	3
380	17	6	7	2	42	1
381	18	5	7	2	46	4
382	19	4	7	1	27	7
383	20	4	6	2	43	1
384	21	3	6	1	42	5
385	22	9	6	2	42	2
386	23	9	4	2	44	6
387	24	7	6	1	42	8
388	23	9	4	1	44	9
389	24	7	8	1	42	9
390	28	7	6	1	43	8
391	22	9	6	1	42	4
392	23	7	9	1	27	4
393	25	9	5	1	43	2
394	27	9	8	1	27	7
395	20	4	6	1	43	4
396	21	3	6	1	42	8
397	22	7	8	1	42	7
398	24	9	5	1	43	4
399	18	5	7	1	46	7
400	19	4	7	1	27	4
401	22	7	8	1	42	7
402	24	9	5	1	44	1
403	17	6	7	1	42	4
404	18	5	7	2	46	1
405	19	4	7	1	27	7
406	20	7	6	2	44	3
407	21	7	8	1	42	7
408	22	9	8	1	28	9
409	23	9	4	2	44	6
410	24	9	5	2	45	1
411	25	9	6	1	42	2
412	28	4	5	1	43	2
413	24	9	5	1	45	2
414	25	9	6	1	42	1
415	26	3	2	1	42	1
416	28	2	1	1	44	2
417	23	9	4	1	44	8
418	24	7	9	1	27	8
419	20	7	6	1	44	5
420	21	7	8	1	42	9
421	23	4	6	2	43	2
422	24	3	6	1	42	3
423	25	4	5	2	44	1
424	25	4	5	1	45	4
425	23	4	6	1	43	6
426	24	3	6	1	42	7
427	25	9	2	2	49	1
428	26	9	4	1	44	9
429	28	7	5	1	43	6
430	25	3	2	1	42	1
431	26	9	3	2	46	9
432	27	1	2	1	42	9
433	29	3	3	1	29	8
434	30	4	3	2	51	1
435	31	5	6	1	43	2
436	30	4	3	1	51	4
437	31	4	2	1	43	5
438	32	9	1	1	42	5
439	26	8	3	1	29	9
440	27	1	2	1	42	9
441	18	5	7	1	46	7
442	15	9	7	1	43	4
443	16	4	8	1	27	9
444	19	9	4	1	44	7
445	20	9	5	2	45	1
446	21	7	3	1	43	1
447	23	7	5	1	44	5
448	24	9	2	2	49	5
449	25	8	3	1	29	7
450	27	8	2	1	45	2
451	24	9	2	1	49	6
452	25	8	3	1	29	7
453	20	9	5	1	45	2
454	21	9	6	1	42	1
455	22	7	3	1	43	1
456	23	7	5	1	44	5
457	25	9	2	2	49	5
458	26	9	1	1	43	6
459	25	9	2	1	49	6
460	26	9	1	1	44	5
461	27	8	1	1	43	2
462	12	7	7	1	42	3
463	13	9	7	2	43	2
464	14	6	8	2	42	3
465	15	5	8	1	42	6
466	16	7	8	2	42	7
467	17	6	7	1	42	1
468	19	5	7	2	47	4
469	20	4	7	1	27	7
470	21	9	4	3	44	7
471	22	9	5	2	45	1
472	23	8	3	1	30	7
473	26	9	1	1	44	3
474	22	9	5	1	45	4
475	23	9	6	1	42	1
476	25	9	1	1	45	3
477	21	9	4	2	44	8
478	22	7	9	1	28	8
479	21	9	4	1	44	9
480	22	7	9	1	29	9
481	19	5	7	1	47	7
482	20	4	7	1	27	4
483	23	5	2	2	45	1
484	24	8	2	2	46	2
485	25	8	1	2	44	3
486	26	9	5	1	45	1
487	25	8	1	1	44	4
488	26	9	2	1	49	5
489	28	7	5	1	44	2
490	24	2	2	1	45	2
491	25	1	2	2	43	5
492	25	1	2	1	44	9
493	26	1	4	1	30	6
494	28	7	3	1	43	1
495	23	5	3	1	42	1
496	24	9	2	2	49	1
497	25	9	4	1	44	9
